COC[C@H]1O[C@H](OCCc2ccccc2)[C@H](NC(=O)CCCN=C(N)N)[C@@H](OCc2ccc(Cl)cc2)[C@@H]1O	CHEMBL1254141
Cc1cc(N2CCCN(C)CC2)nc2ccc(NC(=O)COc3ccc(OC(F)(F)F)cc3)cc12	CHEMBL202095
Cc1cc(NC2CCN(Cc3ccccc3)CC2)nc2ccc(NC(=O)COc3ccc(OC(F)(F)F)cc3)cc12	CHEMBL204082
Cc1cc(N(C)CCN(C)C)nc2ccc(NC(=O)/C=C/c3ccc(OC(F)(F)F)cc3)cc12	CHEMBL189118
Cc1cc(N2CCN[C@@H](C)C2)nc2ccc(NC(=O)COc3ccc(OC(F)(F)F)cc3)cc12	CHEMBL203558
O=C(CC1CCN(Cc2ccn(-c3ccc(C(F)(F)F)cc3)c2)CC1)NC(c1ccc(F)cc1)c1c[nH]c(=O)c(Cl)c1	CHEMBL540930
O=C(CN1C(=O)C2C3CC(C(Br)C3Br)C2C1=O)N1CCN(Cc2ccccc2)CC1	CHEMBL1446321
O=C(c1ccc2c(c1)OCO2)N(CC1CCCO1)C1(C(=O)NC2CCCC2)CCCCC1	CHEMBL1531690
CCn1c(CNc2ccc(Cl)cc2)nnc1SCCN1CCCCC1	CHEMBL1353612
Cc1ccccc1CC1(CO)CCCN(C(=O)c2ccccc2Cl)C1	CHEMBL1589399
Cc1cnc(N[C@H]2CC[C@@H](NC(=O)c3ccc(F)c(F)c3)CC2)nc1N(C)C	CHEMBL578049
Cc1ccc(CN2C(=O)c3ccccc3Sc3ccc(C(=O)NCCCN4CCOCC4)cc32)cc1	CHEMBL1412874
COc1cc(-n2cnc3cc(-c4ccccc4)sc3c2=O)ccc1OCCN1CCCC1	CHEMBL214276
COc1ccc2c(=O)cc(C(=O)NC3CCN(Cc4ccc5c(c4)OCO5)CC3)oc2c1	CHEMBL206081
O=c1c2sc(-c3ccc(Cl)cc3)cc2ncn1-c1ccc2[nH]c(NCCN3CCCC3)nc2c1	CHEMBL384988
Nc1nc2cc(-n3cnc4cc(-c5ccc(Cl)cc5)sc4c3=O)ccc2[nH]1	CHEMBL425982
Cc1ccc(Sc2ccc(C(=O)NCCN3CCCC3)cc2NC(=O)CCc2ccccc2)cc1C	CHEMBL265132
CN(C)C1CCN(c2ccc(-c3coc4cc(-c5ccc(Cl)cc5)ccc4c3=O)cn2)C1	CHEMBL210069
Cc1nc(N2CCCC2)nc2ccc(NC(=O)COc3ccc(C(F)(F)F)cc3)cc12	CHEMBL424728
Cn1c(C2CC2)nc2ccc(-n3ccc(OCc4ccc(C(F)(F)F)s4)cc3=O)cc21	CHEMBL3794306
Cc1c2cc(-n3ccc(OCc4ccc(Cl)cc4)cc3=O)ccc2nn1C1CC1	CHEMBL3794256
O=C(NCc1ccc(-c2ccc(Cl)cc2)cc1)Nc1ccc(CN2CCCCC2)cc1	CHEMBL3600977
O=C(COc1ccc(-c2ccc(Cl)cc2)cc1)Nc1ccc(CN2CCCCC2)cc1	CHEMBL3600975
O=C(/C=C/c1ccc(-c2ccc(Cl)cc2)cc1)Nc1ccc(CN2CCCCC2)cc1	CHEMBL3600972
Cn1c(=O)c(C#N)c(NC2CCN(Cc3ccc4ccccc4c3)CC2)c2cc(Cl)ccc21	CHEMBL207257
Clc1ccc2c(c1)c(NC1CCN(Cc3ccc4c(c3)OCO4)CC1)nn2Cc1ccccn1	CHEMBL197232
CC(CC(C)(C)C)Oc1cccc2ccc(N)nc12	CHEMBL183159
Cc1cc(N2CCN(C)CC2)nc2ccc(NC(=O)CCC(=O)Nc3ccc(F)cc3)cc12	CHEMBL371576
CCN1CCN(c2ccc3cc(NC(=O)/C=C/c4ccc(OC(F)(F)F)cc4)ccc3n2)CC1	CHEMBL435494
Cc1cc(N2CCNCC2)nc2ccc(NC(=O)/C=C/c3ccc(OC(F)(F)F)cc3)cc12	CHEMBL195351
O=c1cc(NC2CCN(C/C=C/c3ccccc3)CC2)c2cc(Cl)ccc2o1	CHEMBL194523
O=c1cc(NC2CCN(Cc3ccc4ncoc4c3)CC2)c2cc(Cl)ccc2o1	CHEMBL370608
O=c1cc(NC2CCN(Cc3ccc4cc[nH]c4c3)CC2)c2cc(Cl)ccc2o1	CHEMBL198727
CC(CNC1CCCC1)Oc1cccc2ccc(N)nc12	CHEMBL184590
CCN(CC)CCNC(=O)c1ccc(NC(=O)Nc2ccc(Cl)c(Cl)c2)cc1OC	CHEMBL182466
CN(C)c1nc(NC2CCC(NCc3ccc(Br)cc3OC(F)(F)F)CC2)nc2ccccc12	CHEMBL178084
Cc1ccc2c(c1)nc(C(C)(C)O)n2[C@H]1CC[C@@H](NC[C@H]2Cc3ccc(C#N)cc3C2)CC1	CHEMBL2403864
CCN(CC(=O)Nc1cccc(C#N)c1)CC(=O)Nc1cccc(OC)c1	CHEMBL1540447
Nc1c(C(=O)NCc2ccc3c(c2)OCO3)nnn1Cc1ccc(Br)cc1	CHEMBL1562905
CN(C(=O)CN1C(=O)C2C3CC(C(Br)C3Br)C2C1=O)C1CCCCC1	CHEMBL1507724
N=c1c(C(=O)NCCc2ccccc2)cc2c(=O)n3ccccc3nc2n1CCCN1CCOCC1	CHEMBL1587146
COc1ccc(-c2nnc(C(=O)N3CC(Oc4ccc(CN(C)C)cc4)C3)o2)cc1	CHEMBL3787134
Cn1c(CC(C)(C)C)nc2ccc(-n3ccc(OCc4ccc(F)cc4)cc3=O)cc21	CHEMBL3792417
Cn1c(C2CC2)nc2ccc(-n3ccc(OCc4cccc(Cl)c4)cc3=O)cc21	CHEMBL3792529
COc1cc(/C=C(\C#N)C(=O)Nc2ccc(C(=O)O)cc2)ccc1OC(=O)c1cccc(F)c1	CHEMBL1359426
